Time(UTC),Symbol,Funding Rate
2023-02-07 16:00:00+00:00,BTCUSD,0.0001
2023-02-07 08:00:00+00:00,BTCUSD,0.0001
2023-02-07 00:00:00+00:00,BTCUSD,0.0001
2023-02-06 16:00:00+00:00,BTCUSD,0.0001
2023-02-06 08:00:00+00:00,BTCUSD,0.0001
2023-02-06 00:00:00+00:00,BTCUSD,0.0001
2023-02-05 16:00:00+00:00,BTCUSD,0.0001
2023-02-05 08:00:00+00:00,BTCUSD,0.0001
2023-02-05 00:00:00+00:00,BTCUSD,0.0001
2023-02-04 16:00:00+00:00,BTCUSD,0.0001
2023-02-04 08:00:00+00:00,BTCUSD,0.0001
2023-02-04 00:00:00+00:00,BTCUSD,0.0001
2023-02-03 16:00:00+00:00,BTCUSD,0.00020442
2023-02-03 08:00:00+00:00,BTCUSD,0.00027609
2023-02-03 00:00:00+00:00,BTCUSD,0.00028529
2023-02-02 16:00:00+00:00,BTCUSD,0.0001
2023-02-02 08:00:00+00:00,BTCUSD,0.00020286
2023-02-02 00:00:00+00:00,BTCUSD,0.0001
2023-02-01 16:00:00+00:00,BTCUSD,0.0001
2023-02-01 08:00:00+00:00,BTCUSD,0.0001
2023-02-01 00:00:00+00:00,BTCUSD,0.0001
2023-01-31 16:00:00+00:00,BTCUSD,0.0001
2023-01-31 08:00:00+00:00,BTCUSD,0.0001
2023-01-31 00:00:00+00:00,BTCUSD,0.0001
2023-01-30 16:00:00+00:00,BTCUSD,0.0001
2023-01-30 08:00:00+00:00,BTCUSD,0.0001
2023-01-30 00:00:00+00:00,BTCUSD,0.0001
2023-01-29 16:00:00+00:00,BTCUSD,0.0001
2023-01-29 08:00:00+00:00,BTCUSD,0.0001
2023-01-29 00:00:00+00:00,BTCUSD,0.0001
2023-01-28 16:00:00+00:00,BTCUSD,0.0001
2023-01-28 08:00:00+00:00,BTCUSD,0.0001
2023-01-28 00:00:00+00:00,BTCUSD,0.0001
2023-01-27 16:00:00+00:00,BTCUSD,0.0001
2023-01-27 08:00:00+00:00,BTCUSD,0.0001
2023-01-27 00:00:00+00:00,BTCUSD,0.0001
2023-01-26 16:00:00+00:00,BTCUSD,0.0001
2023-01-26 08:00:00+00:00,BTCUSD,0.0001
2023-01-26 00:00:00+00:00,BTCUSD,0.0001
2023-01-25 16:00:00+00:00,BTCUSD,0.0001339
2023-01-25 08:00:00+00:00,BTCUSD,0.0001
2023-01-25 00:00:00+00:00,BTCUSD,0.0001
2023-01-24 16:00:00+00:00,BTCUSD,0.0001
2023-01-24 08:00:00+00:00,BTCUSD,0.0001
2023-01-24 00:00:00+00:00,BTCUSD,0.0001
2023-01-23 16:00:00+00:00,BTCUSD,0.0001
2023-01-23 08:00:00+00:00,BTCUSD,0.0001
2023-01-23 00:00:00+00:00,BTCUSD,0.0001
2023-01-22 16:00:00+00:00,BTCUSD,0.0001
2023-01-22 08:00:00+00:00,BTCUSD,0.0001
2023-01-22 00:00:00+00:00,BTCUSD,0.0001
2023-01-21 16:00:00+00:00,BTCUSD,0.0001
2023-01-21 08:00:00+00:00,BTCUSD,0.0001
2023-01-21 00:00:00+00:00,BTCUSD,0.0001
2023-01-20 16:00:00+00:00,BTCUSD,1.08e-05
2023-01-20 08:00:00+00:00,BTCUSD,-1.029e-05
2023-01-20 00:00:00+00:00,BTCUSD,1.973e-05
2023-01-19 16:00:00+00:00,BTCUSD,0.0001
2023-01-19 08:00:00+00:00,BTCUSD,0.0001
2023-01-19 00:00:00+00:00,BTCUSD,0.0001
2023-01-18 16:00:00+00:00,BTCUSD,0.0001
2023-01-18 08:00:00+00:00,BTCUSD,0.0001
2023-01-18 00:00:00+00:00,BTCUSD,0.0001
2023-01-17 16:00:00+00:00,BTCUSD,0.0001
2023-01-17 08:00:00+00:00,BTCUSD,0.0001
2023-01-17 00:00:00+00:00,BTCUSD,0.0001
2023-01-16 16:00:00+00:00,BTCUSD,0.0001
