,Year,Week,BTC_Weekly_Avg_Price,BTC_Close_Price,Weekly_Avg_Fear_Greed,BTC_Weekly_Avg_Volume,BTC_Open_Price,BTC_Weekly_Pct_Change,BTC_Prior_Week_Pct_Change,Fear_Greed_Weekly_Change,Fear_Greed_Prior_Week_Change,M2SL,M2_Monthly_Pct_Change,Funding_Rate
1,2018,46,5838.651436941965,5623.540039,36.857142857142854,5281828571.428572,6411.27002,-12.28664489,0.5511201522646798,-26,12,14258.7,0.074395884,1.2090833333333335e-05
2,2018,47,4361.330008370535,4009.969970703125,16.285714285714285,6076281428.571428,5623.540039,-28.69313737,-12.28664489,-19,-26,14258.7,0.074395884,-0.00022045
3,2018,48,4072.5621163504466,4139.87793,15.285714285714286,6135039496,4009.969970703125,3.239624234931525,-28.69313737,-2,-19,14258.7,0.074395884,-0.000333098
4,2018,49,3662.3439592633927,3614.234375,13.857142857142858,5483781101.142858,4139.87793,-12.6970786,3.239624234931525,-3,-2,14369.9,0.779874743,1.7369047619047624e-05
5,2018,50,3351.4224679129466,3252.839111328125,13.714285714285714,4267035347.285714,3614.234375,-9.999220476,-12.6970786,-6,-3,14369.9,0.779874743,6.647619047619046e-06
6,2018,51,3861.7174944196427,3998.980224609375,26,6574500888.285714,3252.839111328125,22.938149958993908,-9.999220476,14,-6,14369.9,0.779874743,-6.03E-06
7,2018,52,3859.5001395089284,3865.952637,25.857142857142858,5607104988.285714,3998.980224609375,-3.326537778,22.938149958993908,-2,14,14369.9,0.779874743,-6.86E-05
8,2019,1,4736.2261962890625,7193.599121,35,9215494195,3865.952637,86.07571786495966,-3.326537778,14,-2,14432.7,0.437024614,2.5577500000000007e-05
9,2019,2,3810.276681082589,3552.953125,31.285714285714285,5360493453.857142,7193.599121,-50.60952014,86.07571786495966,-18,14,14432.7,0.437024614,-7.80E-05
10,2019,3,3665.3885323660716,3601.013672,27.142857142857142,5512656712.428572,3552.953125,1.3526929622804973,-50.60952014,19,-18,14432.7,0.437024614,-7.05E-06
11,2019,4,3593.2557547433034,3583.96582,34.57142857142857,5278482721.428572,3601.013672,-0.473418129,1.3526929622804973,9,19,14432.7,0.437024614,-3.31E-05
