timestamp,fear_greed_value,fear_greed_classification,exchange_volume_btc,perp_funding_rate_btc,m2_supply,m2_supply_month_pct_change,gld_etf_price_gold,futures_price_gold,price_btc,dxy_usd_index
2/1/18,30,Fear,33564.76431,,13907.3,0.27470942808525134,128.07000732421875,1344.300048828125,9170.540039,88.67
2/2/18,15,Extreme Fear,49971.62698,,13907.3,0.27470942808525134,126.38999938964844,1333.699951171875,8830.75,89.19
2/3/18,40,Fear,28725.00074,,13907.3,0.27470942808525134,126.49666595458984,1333.4666341145833,9174.910156,89.19
2/4/18,24,Extreme Fear,32014.30845,,13907.3,0.27470942808525134,126.60333251953125,1333.2333170572917,8277.009766,89.19
2/5/18,11,Extreme Fear,63403.18258,,13907.3,0.27470942808525134,126.70999908447266,1333,6955.27002,89.55
2/6/18,8,Extreme Fear,100201.5003,,13907.3,0.27470942808525134,125.37999725341797,1326.0999755859375,7754,89.58
2/7/18,36,Fear,60778.4605,,13907.3,0.27470942808525134,124.79000091552734,1311.5999755859375,7621.299805,90.25
2/8/18,30,Fear,1521.537318,,13907.3,0.27470942808525134,124.9800033569336,1316.9000244140625,8265.589844,90.23
2/9/18,44,Fear,20482.91083,,13907.3,0.27470942808525134,124.7699966430664,1313.0999755859375,8736.980469,90.44
2/10/18,54,Neutral,49381.51265,,13907.3,0.27470942808525134,124.96999867757161,1316.7999674479167,8621.900391,90.44
2/11/18,31,Fear,45025.18795,,13907.3,0.27470942808525134,125.17000071207683,1320.4999593098958,8129.970215,90.44
2/12/18,42,Fear,41987.85049,,13907.3,0.27470942808525134,125.37000274658203,1324.199951171875,8926.570313,90.21
2/13/18,35,Fear,35454.97296,,13907.3,0.27470942808525134,126.08000183105469,1328.0999755859375,8598.30957,89.7
2/14/18,55,Greed,40811.95287,,13907.3,0.27470942808525134,128.22999572753906,1355.5,9494.629883,89.12
2/15/18,71,Greed,52427.59672,,13907.3,0.27470942808525134,128.3800048828125,1352.0999755859375,10166.40039,88.59
2/16/18,67,Greed,38161.20597,,13907.3,0.27470942808525134,127.95999908447266,1353.199951171875,10233.90039,89.1
2/17/18,74,Greed,41882.10841,,13907.3,0.27470942808525134,127.52999877929688,1347.0999755859375,11112.7002,89.1
2/18/18,63,Greed,61137.38073,,13907.3,0.27470942808525134,127.0999984741211,1341,10551.7998,89.1
2/19/18,67,Greed,40831.41713,,13907.3,0.27470942808525134,126.66999816894531,1334.9000244140625,11225.2998,89.1
2/20/18,74,Greed,48153.35429,,13907.3,0.27470942808525134,126.23999786376953,1328.800048828125,11403.7002,89.72
2/21/18,54,Neutral,68113.81875,,13907.3,0.27470942808525134,125.66000366210938,1330,10690.40039,90
2/22/18,44,Fear,67060.16648,,13907.3,0.27470942808525134,126.30000305175781,1330.5999755859375,10005,89.74
2/23/18,39,Fear,57202.70237,,13907.3,0.27470942808525134,126.13999938964844,1328.199951171875,10301.09961,89.88
2/24/18,31,Fear,40888.1563,,13907.3,0.27470942808525134,126.24333190917969,1329.0332845052083,9813.070313,89.88
2/25/18,33,Fear,28373.51759,,13907.3,0.27470942808525134,126.34666442871094,1329.8666178385417,9664.730469,89.88
2/26/18,37,Fear,34878.29276,,13907.3,0.27470942808525134,126.44999694824219,1330.699951171875,10366.7002,89.85
2/27/18,44,Fear,30705.38512,,13907.3,0.27470942808525134,125.12999725341797,1315.5,10725.59961,90.36
2/28/18,41,Fear,30800.98378,,13907.3,0.27470942808525134,125,1315.5,10397.90039,90.61
3/1/18,38,Fear,25092.55393,,13966.4,0.4249566774284119,124.72000122070312,1302.9000244140625,10951,90.32
3/2/18,47,Neutral,23910.71009,,13966.4,0.4249566774284119,125.38999938964844,1321.0999755859375,11086.40039,89.94
3/3/18,56,Greed,21287.15328,,13966.4,0.4249566774284119,125.31999969482422,1320.0999755859375,11489.7002,89.94
3/4/18,44,Fear,17295.91865,,13966.4,0.4249566774284119,125.25,1319.0999755859375,11512.59961,89.94
3/5/18,55,Greed,15144.23106,,13966.4,0.4249566774284119,125.18000030517578,1318.0999755859375,11573.2998,90.08
3/6/18,59,Greed,29515.57236,,13966.4,0.4249566774284119,126.52999877929688,1333.5999755859375,10779.90039,89.62
3/7/18,37,Fear,50647.67108,,13966.4,0.4249566774284119,125.72000122070312,1326,9965.570313,89.64
3/8/18,39,Fear,41109.47323,,13966.4,0.4249566774284119,125.41999816894531,1319.9000244140625,9395.009766,90.18
3/9/18,37,Fear,64112.29141,,13966.4,0.4249566774284119,125.54000091552734,1322.4000244140625,9337.549805,90.09
3/10/18,39,Fear,37180.01286,,13966.4,0.4249566774284119,125.54000091552734,1321.4000244140625,8866,90.09
3/11/18,40,Fear,44325.97339,,13966.4,0.4249566774284119,125.54000091552734,1320.4000244140625,9578.629883,90.09
3/12/18,41,Fear,42230.77793,,13966.4,0.4249566774284119,125.54000091552734,1319.4000244140625,9205.120117,89.89
3/13/18,41,Fear,40191.40936,,13966.4,0.4249566774284119,125.77999877929688,1325.9000244140625,9194.849609,89.66
